authors,likes,quotes,tags
"Confucius,",141,“Never give a sword to a man who can't dance.”,"['clumsiness', 'grace', 'inspirational']"
"Maya Angelou,",139,"“Make every effort to change things you do not like. If you cannot make a change, change the way you have been thinking. You might find a new solution.”",['inspirational']
Gordon B. Hinckley,139,"“You are doing the best you can, and that best results in good to yourself and to others. Do not nag yourself with a sense of failure. Get on your knees and ask for the blessings of the Lord;then stand on your feet and do what you are asked to do.”",['inspirational']
C. JoyBell C.,137,"“The downfall of the attempts of governments and leaders to unite mankind is found in this- in the wrong message that we should see everyone as the same. This is the root of the failure of harmony. Because the truth is, we should not all see everyone as the same! We are not the same! We are made of different colours and we have different cultures. We are all different! But the key to this door is to look at these differences, respect these differences, learn from and about these differences, and grow in and with these differences. We are all different. We are not the same. But that's beautiful. And that's okay.In the quest for unity and peace, we cannot blind ourselves and expect to be all the same. Because in this, we all have an underlying belief that everyone should be the same as us at some point. We are not on a journey to become the same or to be the same. But we are on a journey to see that in all of our differences, that is what makes us beautiful as a human race, and if we are ever to grow, we ought to learn and always learn some more.”","['color', 'culture', 'difference', 'differences', 'equality', 'government', 'harmony', 'human', 'humanism', 'humanity', 'inspiration', 'inspirational', 'inspirational-quotes', 'peace', 'race', 'society', 'unity']"
"Terry Goodkind,",137,"“We all can be only who we are, no more, no less.”","['inspirational', 'kahlan', 'philosophical']"
"Shunryu Suzuki,",137,"“In the beginner’s mind there are many possibilities, but in the expert’s there are few”","['inspirational', 'philosophy', 'zen']"
"Amit Ray,",136,"“The true miracle lies in our eagerness to allow, appreciate, and honor the uniqueness, and freedom of each sentient being to sing the song of their heart.”","['freedom', 'global-oneness', 'inspirational', 'life', 'love', 'meditation', 'miracles-of-life', 'nonduality-yoga', 'oneness', 'oneness-with-life', 'unity', 'unity-consciousness', 'yoga']"
Steve Maraboli,135,“She is delightfully chaotic; a beautiful mess. Loving her is a splendid adventure.”,"['inspirational', 'love', 'loving', 'relationships']"
"Steve Maraboli,",133,“Your opinion is not my reality.”,"['inspirational', 'motivational', 'opinion', 'reality']"
Confucius,133,"“The Man who says he can, and the man who says he can not.. Are both correct”",['inspirational']
David McCord,132,"“Books fall open, you fall in”","['books', 'inspirational', 'reading-books']"
"Steve Maraboli,",270,"“If you are not the hero of your own story, then you're missing the whole point of your humanity.”","['happiness', 'hero', 'humanity', 'inspirational', 'life', 'motivational', 'story', 'success']"
Tupac Shakur,258,“Whatever you see you gotta keep a sense of humor; you gotta be able to smile through all the bullshit.”,['inspirational']
Colleen Houck,248,"“To have regret is to be disappointed with yourself and your choices. Those who are wise, see their life like stepping stones across a great river. Everyone misses a stone from time to time. No one can cross the river without getting wet. Success is measured by your arrival on the other side, not on how muddy your shoes are. Regrets are only felt by those who do not understand life’s purpose. They become so disillusioned that they stand still in the river and do not take the next leap.”",['inspirational']
Lao Tzu,229,"“We join spokes together in a wheel, but it is the center hole that makes the wagon move.We shape clay into a pot, but it is the emptiness insidethat holds whatever we want.We hammer wood for a house, but it is the inner spacethat makes it livable.We work with being, but non-being is what we use.”","['inspirational', 'love', 'philosophy', 'poetry']"
"E.A. Bucchianeri,",219,“... it’s a blessed thing to love and feel loved in return.”,"['blessings', 'catholic-author', 'falling-in-love', 'inspirational', 'inspirational-love', 'inspirational-romance', 'love', 'love-story', 'romance', 'true-love']"
"J.K. Rowling,",196,"“I am not worried, Harry,"" said Dumbledore, his voice a little stronger despite the freezing water. ""I am with you.”","['dumbledore', 'faith', 'harry-potter', 'inspirational']"
"Gayle Forman,",184,"“But what if Shakespeare― and Hamlet― were asking the wrong question? What if the real question is not whether to be, but how to be?”","['inspirational', 'shakespeare']"
Hubert Van Zeller,181,"“What the soul hardly realizes is that, unbeliever or not, his loneliness is really a homesickness for God.”","['god', 'inspirational', 'soul']"
"Helen Keller,",181,"“For, after all, every one who wishes to gain true knowledge must climb the Hill Difficulty alone, and since there is no royal road to the summit, I must zigzag it in my own way. I slip back many times, I fall, I stand still, I run against the edge of hidden obstacles, I lose my temper and find it again and keep it better, I trudge on, I gain a little, I feel encouraged, I get more eager and climb higher and begin to see the widening horizon. Every struggle is a victory. One more effort and I reach the luminous cloud, the blue depths of the sky, the uplands of my desire.”",['inspirational']
"Friedrich Nietzsche,",180,"“To those human beings who are of any concern to me I wish suffering, desolation, sickness, ill-treatment, indignities—I wish that they should not remain unfamiliar with profound self-contempt, the torture of self-mistrust, the wretchedness of the vanquished: I have no pity for them, because I wish them the only thing that can prove today whether one is worth anything or not—that one endures.”","['endurance', 'friendship', 'inspirational', 'philosophy']"
"Sarah Dessen,",176,"“I'd heard of Evergreen Care Center before. Cass and I had always made fun of the stupid ads they ran on TV, featuring some dragged-out woman with a limp perm and big, painted-on circles under her eyes, downing vodka and sobbing uncontrollably. ""We can't heal you at Evergreen"", the very somber voiceover said. ""But we can help you to heal yourself."" It had become our own running joke, applicable to almost anything. ""Hey Cass, ""I'd say, ""hand me that toothpaste."" ""Caitlin,"" she'd say, her voice dark and serious. ""I can't hand you the toothpaste. But I CAN help you hand the toothpaste to yourself.”","['drama', 'fiction', 'inspirational', 'romance', 'self-help']"
